experiment,run_id,scheme,N,query_id,q,bucket,trapdoor_ms,server_ms,unmask_ms,delta_replay_ms,verify_ms,client_ms,total_ms,groups,aggregate_bytes,delta_records,delta_bytes,requested_buckets,returned_bucket_slots,trapdoor_bytes,bucket_bytes,client_to_server_bytes,server_to_client_bytes,candidates,final_results,correct,seed
E2,0,Ren,300000,medium_018,2,medium,0.0297,0.5811,0,0,0.014,0.014,0.6248,0,0,0,0,0,0,116,0,116,476,502,12,1,20260711
E2,0,Ren,300000,rare_009,2,rare,0.0149,0.0165,0,0,0.0008,0.0008,0.0322,0,0,0,0,0,0,116,0,116,47,4,1,1,20260711
E2,0,Ren,300000,common_024,2,common,0.0145,35.339,0,0,17.8017,17.8017,53.1552,0,0,0,0,0,0,116,0,116,1244264,31904,31904,1,20260711
E2,0,Ren,300000,rare_012,2,rare,0.0351,1.406,0,0,0.0084,0.0084,1.4495,0,0,0,0,0,0,116,0,116,86,522,2,1,20260711
E2,0,Ren,300000,common_016,2,common,0.0157,14.2408,0,0,4.6288,4.6288,18.8853,0,0,0,0,0,0,116,0,116,320822,12689,8226,1,20260711
E2,0,Ren,300000,medium_003,2,medium,0.0273,0.419,0,0.0001,0.1132,0.1132,0.5595,0,0,0,0,0,0,116,0,116,710,326,18,1,20260711
E2,0,Ren,300000,rare_018,2,rare,0.0178,0.0713,0,0,0.0017,0.0017,0.0908,0,0,0,0,0,0,116,0,116,47,12,1,1,20260711
E2,0,Ren,300000,rare_017,2,rare,0.0182,0.0567,0,0,0.0011,0.0011,0.076,0,0,0,0,0,0,116,0,116,47,12,1,1,20260711
E2,0,Ren,300000,rare_007,2,rare,0.0168,1.2059,0,0,0.0105,0.0105,1.2332,0,0,0,0,0,0,116,0,116,359,447,9,1,20260711
E2,0,Ren,300000,common_013,2,common,0.0234,31.4394,0,0,12.8666,12.8666,44.3294,0,0,0,0,0,0,116,0,116,916274,27923,23494,1,20260711
E2,0,Ren,300000,medium_015,2,medium,0.0275,3.6372,0,0.0001,0.0206,0.0206,3.6853,0,0,0,0,0,0,116,0,116,944,3240,24,1,20260711
E2,0,Ren,300000,medium_024,2,medium,0.0167,4.07,0,0,0.0303,0.0303,4.117,0,0,0,0,0,0,116,0,116,2036,3856,52,1,20260711
E2,0,Ren,300000,medium_008,2,medium,0.0181,1.4076,0,0.0001,0.0067,0.0067,1.4324,0,0,0,0,0,0,116,0,116,398,1109,10,1,20260711
E2,0,Ren,300000,common_008,2,common,0.0172,11.7565,0,0,3.0122,3.0122,14.7859,0,0,0,0,0,0,116,0,116,218642,10981,5606,1,20260711
E2,0,Ren,300000,medium_004,2,medium,0.0205,0.0861,0,0,0.0324,0.0324,0.139,0,0,0,0,0,0,116,0,116,2075,72,53,1,20260711
E2,0,Ren,300000,common_014,2,common,0.0145,32.7823,0,0,10.4549,10.4549,43.2517,0,0,0,0,0,0,116,0,116,718193,30050,18415,1,20260711
E2,0,Ren,300000,medium_019,2,medium,0.0277,0.4383,0,0,0.0663,0.0663,0.5323,0,0,0,0,0,0,116,0,116,4337,393,111,1,20260711
E2,0,Ren,300000,common_004,2,common,0.0178,12.4948,0,0,2.8959,2.8959,15.4085,0,0,0,0,0,0,116,0,116,202769,11380,5199,1,20260711
E2,0,Ren,300000,rare_004,2,rare,0.0222,0.3407,0,0.0001,0.0044,0.0044,0.3673,0,0,0,0,0,0,116,0,116,86,172,2,1,20260711
E2,0,Ren,300000,medium_009,2,medium,0.0147,2.3349,0,0,0.011,0.011,2.3606,0,0,0,0,0,0,116,0,116,554,2025,14,1,20260711
E2,0,Ren,300000,rare_008,2,rare,0.0197,0.6848,0,0,0.0082,0.0082,0.7127,0,0,0,0,0,0,116,0,116,515,644,13,1,20260711
E2,0,Ren,300000,common_002,2,common,0.0147,33.9508,0,0.0001,12.1711,12.1711,46.1366,0,0,0,0,0,0,116,0,116,857696,30050,21992,1,20260711
E2,0,Ren,300000,medium_011,2,medium,0.028,1.3416,0,0,0.0166,0.0166,1.3862,0,0,0,0,0,0,116,0,116,749,1197,19,1,20260711
E2,0,Ren,300000,medium_000,2,medium,0.0159,1.3282,0,0,0.0521,0.0521,1.3962,0,0,0,0,0,0,116,0,116,3596,1175,92,1,20260711
E2,0,Ren,300000,common_003,2,common,0.0171,12.0654,0,0.0001,2.7795,2.7795,14.862,0,0,0,0,0,0,116,0,116,201365,11380,5163,1,20260711
E2,0,Ren,300000,medium_007,2,medium,0.0196,2.0833,0,0,0.0148,0.0148,2.1177,0,0,0,0,0,0,116,0,116,827,1983,21,1,20260711
E2,0,Ren,300000,common_027,2,common,0.015,68.0151,0,0,28.7759,28.7759,96.806,0,0,0,0,0,0,116,0,116,2001020,61834,51308,1,20260711
E2,0,Ren,300000,common_017,2,common,0.0356,26.6416,0,0.0001,5.5503,5.5503,32.2275,0,0,0,0,0,0,116,0,116,396872,24000,10176,1,20260711
E2,0,Ren,300000,rare_023,2,rare,0.0279,0.0704,0,0.0001,0.0083,0.0083,0.1066,0,0,0,0,0,0,116,0,116,47,17,1,1,20260711
E2,0,Ren,300000,common_006,2,common,0.0147,14.7231,0,0,7.7974,7.7974,22.5352,0,0,0,0,0,0,116,0,116,541562,13886,13886,1,20260711
E2,0,Ren,300000,common_012,2,common,0.0258,16.7936,0,0,8.8226,8.8226,25.642,0,0,0,0,0,0,116,0,116,602636,15452,15452,1,20260711
E2,0,Ren,300000,medium_006,2,medium,0.0194,0.0121,0,0,0.0087,0.0087,0.0402,0,0,0,0,0,0,116,0,116,320,8,8,1,20260711
E2,0,Ren,300000,common_010,2,common,0.0148,37.8569,0,0.0001,15.7147,15.7147,53.5864,0,0,0,0,0,0,116,0,116,1020131,34517,26157,1,20260711
E2,0,Ren,300000,rare_005,2,rare,0.029,0.223,0,0,0.009,0.009,0.261,0,0,0,0,0,0,116,0,116,125,63,3,1,20260711
E2,0,Ren,300000,rare_000,2,rare,0.0147,0.076,0,0,0.0008,0.0008,0.0915,0,0,0,0,0,0,116,0,116,47,17,1,1,20260711
E2,0,Ren,300000,common_011,2,common,0.0142,80.0054,0,0,41.2269,41.2269,121.246,0,0,0,0,0,0,116,0,116,2841626,73584,72862,1,20260711
E2,0,Ren,300000,medium_005,2,medium,0.0326,1.7643,0,0.0001,0.0214,0.0214,1.8183,0,0,0,0,0,0,116,0,116,944,1439,24,1,20260711
E2,0,Ren,300000,rare_021,2,rare,0.016,0.0067,0,0.0001,0.0008,0.0008,0.0235,0,0,0,0,0,0,116,0,116,47,1,1,1,20260711
E2,0,Ren,300000,medium_020,2,medium,0.0147,0.5629,0,0,0.0363,0.0363,0.6139,0,0,0,0,0,0,116,0,116,2543,414,65,1,20260711
E2,0,SliceBF,300000,common_001,3,common,0.028,0.5431,2.465,0.3653,11.0531,13.8834,14.4545,1,150336,0,0,1596,102144,616,68871424,7000,69021760,2313,2313,1,20260711
E2,0,SliceBF,300000,rare_003,3,rare,0.0325,0.1042,1.7977,0.3414,0.0108,2.1499,2.2866,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
E2,0,SliceBF,300000,medium_014,3,medium,0.0286,0.103,1.4375,0.3419,0.0592,1.8386,1.9702,1,150336,0,0,10,640,616,498560,656,648896,10,10,1,20260711
E2,0,SliceBF,300000,rare_013,3,rare,0.0289,0.1092,1.5354,0.3423,0.1408,2.0185,2.1566,1,150336,0,0,31,1984,616,1258816,740,1409152,31,31,1,20260711
E2,0,SliceBF,300000,medium_004,3,medium,0.0283,0.0991,1.9775,0.3474,0.0149,2.3398,2.4672,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
E2,0,SliceBF,300000,rare_020,3,rare,0.0298,0.1008,1.8968,0.3415,0.0132,2.2515,2.3821,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
E2,0,SliceBF,300000,rare_022,3,rare,0.0294,0.1046,1.4265,0.3416,0.026,1.7941,1.9281,1,150336,0,0,4,256,616,199424,632,349760,4,4,1,20260711
E2,0,SliceBF,300000,rare_024,3,rare,0.0287,0.1048,2.6328,0.3436,0.1299,3.1063,3.2398,1,150336,0,0,22,1408,616,982144,704,1132480,22,22,1,20260711
E2,0,SliceBF,300000,rare_019,3,rare,0.0298,0.0995,1.5662,0.3442,0.0091,1.9195,2.0488,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
E2,0,SliceBF,300000,medium_011,3,medium,0.0288,0.0987,1.3329,0.3429,0.009,1.6848,1.8123,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
E2,0,SliceBF,300000,rare_005,3,rare,0.0288,0.0999,1.4222,0.3416,0.0141,1.7779,1.9066,1,150336,0,0,1,64,616,41664,620,192000,1,1,1,20260711
