experiment,scheme,N,q,selectivity,metric,unit,mean,median,p50,p95,sd_between_runs,ci95_low,ci95_high,ci95_half,n_runs,n_measurements,param1,param2
E1,SliceBF-NoMask,300000,3,all,server_ms,ms,0.52864575,0.1106,0.1106,1.8829949999999998,0.013856771545213892,0.51896375,0.5399104374999998,0.01047334374999992,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,server_ms,ms,0.980399,0.9166,0.9166,1.3978749999999998,0.0185426654848015,0.96629875,0.99517725,0.014439250000000015,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,unmask_ms,ms,1.960407,1.8979,1.8979,2.92134,0.030005046614590487,1.935622,1.9802510000000002,0.022314500000000126,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,unmask_ms,ms,9.21009775,8.1004,8.1004,14.182475,0.04568318173333908,9.17724075,9.249952500000001,0.036355875000000815,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,unmask_ms,ms,1.55351775,1.41985,1.41985,2.4722649999999997,0.04137605615532674,1.5181274999999999,1.5822402500000001,0.03205637500000014,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,unmask_ms,ms,1.971479,1.85895,1.85895,2.95341,0.04991304371729893,1.93726975,2.0144355,0.038582874999999905,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,delta_replay_ms,ms,0.40002724999999995,0.3443,0.3443,0.5813249999999998,0.010135753641195101,0.39279925000000004,0.40857124999999994,0.007885999999999949,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,delta_replay_ms,ms,0.4100985,0.3503,0.3503,0.6599749999999999,0.0028106659853582637,0.40792725,0.41216325,0.002117999999999981,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,delta_replay_ms,ms,0.4074565,0.34545,0.34545,0.6302799999999982,0.010266344833970851,0.399817,0.4151275,0.007655250000000002,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,delta_replay_ms,ms,0.40795675000000003,0.34775,0.34775,0.6243749999999989,0.006306029022391973,0.40272625000000006,0.41253975,0.00490674999999996,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,verify_ms,ms,16.356678749999997,0.026549999999999997,0.026549999999999997,62.779964999999976,0.0876956175412289,16.288215,16.43035325,0.07106912499999929,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,verify_ms,ms,16.27654375,0.02795,0.02795,63.258784999999996,0.07667549198468725,16.223003,16.338138750000002,0.057567875000001933,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,verify_ms,ms,16.291996,0.0294,0.0294,61.581484999999944,0.1172234440455759,16.2290015,16.396857750000002,0.08392812500000169,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,verify_ms,ms,16.28486575,0.03515,0.03515,62.14556999999999,0.05800682518166648,16.232884249999998,16.32532725,0.04622150000000147,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,client_ms,ms,18.71711125,2.3903499999999998,2.3903499999999998,65.65607499999994,0.09810463228503091,18.641313000000004,18.79276125,0.07572412499999892,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,client_ms,ms,25.8967425,8.7463,8.7463,77.55064499999996,0.11871308136966767,25.80952,26.00068225,0.09558112500000071,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,client_ms,ms,18.252968250000002,1.9686,1.9686,63.9621949999999,0.13204480587983666,18.1831845,18.3725155,0.09466549999999962,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,client_ms,ms,18.66429875,2.41515,2.41515,64.70865999999998,0.08103632069074834,18.60595573125,18.73503025,0.0645372593750011,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,client_to_server_bytes,bytes,4765.93,624.0,624.0,17496.600000000002,3.638097030042021,4763.12,4768.74,2.8099999999999454,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,client_to_server_bytes,bytes,4766.030000000001,624.0,624.0,17409.8,2.547940344670654,4764.0199999999995,4768.04,2.0100000000002183,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,client_to_server_bytes,bytes,4763.66,624.0,624.0,17428.6,5.942158698655072,4758.99,4768.2,4.605000000000018,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,client_to_server_bytes,bytes,19408.0,19408.0,19408.0,19408.0,0.0,19408.0,19408.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,server_to_client_bytes,bytes,39266326.239999995,225472.0,225472.0,157943456.0,34555.49252735336,39240026.88,39292625.6,26299.359999999404,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,server_to_client_bytes,bytes,40929788.32,1879168.0,1879168.0,159194422.4,17483.375139599644,40915347.36,40941453.28,13052.960000000894,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,server_to_client_bytes,bytes,39248846.4,225472.0,225472.0,157638832.0,57242.9265750803,39204596.95999999,39292592.0,43997.52000000328,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,server_to_client_bytes,bytes,172098240.0,172098240.0,172098240.0,172098240.0,0.0,172098240.0,172098240.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,trapdoor_bytes,bytes,616.0,616.0,616.0,616.0,0.0,616.0,616.0,0.0,5,400,network_transport=excluded,ci=bootstrap_over_process_means
