experiment,run_id,scheme,N,query_id,q,bucket,trapdoor_ms,server_ms,unmask_ms,delta_replay_ms,verify_ms,client_ms,total_ms,groups,aggregate_bytes,delta_records,delta_bytes,requested_buckets,returned_bucket_slots,trapdoor_bytes,bucket_bytes,client_to_server_bytes,server_to_client_bytes,candidates,final_results,correct,seed
"E1",3,"SliceBF-NoPruning",300000,"rare_017",3,"rare",0.0315,0.898,2.1363,0.4248,0.0215,2.5826,3.5121,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_005",3,"rare",0.0307,0.8622,1.2869,0.3414,0.023,1.6513,2.5442,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_012",3,"rare",0.0307,0.8369,2.5809,0.3435,0.0952,3.0196,3.8872,1,150336,0,0,4698,300672,616,171947904,19408,172098240,14,14,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_012",3,"medium",0.0295,0.8467,1.9877,1.0427,0.0325,3.0629,3.9391,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_019",3,"common",0.031,1.267,2.5119,0.489,65.3931,68.394,69.692,1,150336,0,0,4698,300672,616,171947904,19408,172098240,15472,15472,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_011",3,"common",0.042,1.1891,1.7362,0.4693,60.4856,62.6911,63.9222,1,150336,0,0,4698,300672,616,171947904,19408,172098240,13270,13270,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_004",3,"common",0.0449,0.8929,2.5388,0.8286,56.4185,59.7859,60.7237,1,150336,0,0,4698,300672,616,171947904,19408,172098240,12952,12952,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_024",3,"medium",0.0475,0.9363,2.455,0.3427,0.0265,2.8242,3.808,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_020",3,"medium",0.031,0.901,2.8169,0.3618,0.035,3.2137,4.1457,1,150336,0,0,4698,300672,616,171947904,19408,172098240,2,2,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_002",3,"common",0.0305,0.8477,2.266,0.3579,6.4999,9.1238,10.002,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1369,1369,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_014",3,"medium",0.0378,0.8957,1.7002,0.3437,0.0806,2.1245,3.058,1,150336,0,0,4698,300672,616,171947904,19408,172098240,10,10,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_011",3,"medium",0.0306,0.905,1.8045,0.3692,0.0239,2.1976,3.1332,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_011",3,"rare",0.0309,0.8483,1.3989,0.3415,0.0213,1.7617,2.6409,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_016",3,"common",0.0296,0.8671,3.1261,0.4674,54.4416,58.0351,58.9318,1,150336,0,0,4698,300672,616,171947904,19408,172098240,13073,13073,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_020",3,"common",0.0429,0.9509,2.9631,0.4045,23.843,27.2106,28.2044,1,150336,0,0,4698,300672,616,171947904,19408,172098240,6213,6213,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_006",3,"medium",0.0425,0.9129,1.3645,0.3417,0.0285,1.7347,2.6901,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_018",3,"medium",0.0299,0.8525,1.7848,0.343,0.0233,2.1511,3.0335,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_022",3,"common",0.0301,1.4121,2.3626,0.448,48.1566,50.9672,52.4094,1,150336,0,0,4698,300672,616,171947904,19408,172098240,11283,11283,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_013",3,"common",0.0473,0.9328,1.3014,0.3537,3.3632,5.0183,5.9984,1,150336,0,0,4698,300672,616,171947904,19408,172098240,805,805,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_015",3,"rare",0.0385,0.8999,1.3339,0.3416,0.0255,1.701,2.6394,1,150336,0,0,4698,300672,616,171947904,19408,172098240,2,2,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_001",3,"rare",0.0297,0.8445,1.7186,0.3422,0.0234,2.0842,2.9584,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_025",3,"rare",0.0296,0.8242,1.9529,0.3429,0.0238,2.3196,3.1734,1,150336,0,0,4698,300672,616,171947904,19408,172098240,2,2,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"medium_013",3,"medium",0.2053,0.8638,1.6367,0.3422,0.0361,2.015,3.0841,1,150336,0,0,4698,300672,616,171947904,19408,172098240,4,4,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_014",3,"rare",0.0299,1.3566,1.515,0.3416,0.035,1.8916,3.2781,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_007",3,"common",0.0312,0.8492,1.5892,0.3604,7.599,9.5486,10.429,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1452,1452,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"rare_003",3,"rare",0.0373,0.983,1.4262,0.3417,0.0176,1.7855,2.8058,1,150336,0,0,4698,300672,616,171947904,19408,172098240,1,1,1,20260711
"E1",3,"SliceBF-NoPruning",300000,"common_012",3,"common",0.0303,0.974,2.0794,0.4111,14.2603,16.7508,17.7551,1,150336,0,0,4698,300672,616,171947904,19408,172098240,3545,3545,1,20260711
