experiment,scheme,N,q,selectivity,metric,unit,mean,median,p50,p95,sd_between_runs,ci95_low,ci95_high,ci95_half,n_runs,n_measurements,param1,param2
E8,SliceBF,300000,3,insert,batch_update_ms,ms,0.9354569999999999,0.8958,0.8958,1.18301,0.03036448594987242,0.9189474000000001,0.963306,0.022179299999999957,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,50000,3,delete,first_query_ms,ms,0.5723872,0.20315,0.20315,2.5239849999999993,0.011578321713443635,0.564873,0.582453,0.00879000000000002,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,50000,3,insert,first_query_ms,ms,0.577379,0.2063,0.2063,2.53061,0.007118753542580334,0.5726002,0.5832704,0.0053350999999999815,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,100000,3,delete,first_query_ms,ms,1.2318324,0.3866,0.3866,5.904709999999998,0.05139894877621529,1.2009794,1.2777348000000002,0.03837770000000007,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,100000,3,insert,first_query_ms,ms,1.2280214,0.38685,0.38685,5.787564999999993,0.03956289851363278,1.200399,1.2626034000000002,0.03110220000000008,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,150000,3,delete,first_query_ms,ms,1.8738418,0.5709,0.5709,9.147389999999957,0.04508378541892857,1.8387086,1.9089749999999999,0.035133199999999976,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,150000,3,insert,first_query_ms,ms,1.8850214,0.57485,0.57485,9.052589999999949,0.039294461903683076,1.8552890000000002,1.9161746000000002,0.030442799999999992,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,200000,3,delete,first_query_ms,ms,2.5641238,0.7963,0.7963,12.034414999999909,0.07152078459231258,2.5137324,2.6229354,0.05460149999999997,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,200000,3,insert,first_query_ms,ms,2.5571186000000004,0.8022,0.8022,11.51238499999988,0.058003323209105936,2.5167050000000004,2.6078266,0.045560799999999846,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,250000,3,delete,first_query_ms,ms,3.2516412000000003,1.09775,1.09775,14.462974999999833,0.033025666408113705,3.23065,3.2809196,0.025134800000000013,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,250000,3,insert,first_query_ms,ms,3.2812504000000002,1.0834,1.0834,16.495959999999926,0.0830723897230603,3.2157899999999997,3.3467108000000003,0.06546040000000031,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,300000,3,delete,first_query_ms,ms,3.8826976,1.3580999999999999,1.3580999999999999,18.73477499999984,0.04217631358120352,3.8588264000000003,3.9202598,0.03071669999999993,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,300000,3,insert,first_query_ms,ms,3.8755412,1.33805,1.33805,20.19456999999993,0.03645804381340284,3.8554712,3.9088654,0.026697099999999807,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,50000,3,delete,first_query_ms,ms,1.2153586,0.97705,0.97705,3.2276949999999993,0.018646234346376776,1.2056998,1.232336,0.0133181,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,50000,3,insert,first_query_ms,ms,1.2475532,1.0003,1.0003,3.2319349999999996,0.020332968000269954,1.233114,1.264227,0.015556499999999973,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,100000,3,delete,first_query_ms,ms,1.7138928,1.3109000000000002,1.3109000000000002,4.580994999999997,0.05398404271356497,1.6773278,1.7609266000000001,0.04179940000000004,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,100000,3,insert,first_query_ms,ms,1.7412374,1.36305,1.36305,4.45946,0.07698415109488445,1.6965856000000001,1.8100266,0.05672049999999995,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,150000,3,delete,first_query_ms,ms,2.2869804,1.65835,1.65835,5.561999999999981,0.059016933644505706,2.2447682,2.3403970000000003,0.047814400000000035,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,150000,3,insert,first_query_ms,ms,2.3088113999999997,1.6973500000000001,1.6973500000000001,5.754729999999992,0.057492685889598195,2.2692667999999996,2.3602718,0.04550250000000022,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,200000,3,delete,first_query_ms,ms,2.8369112000000003,1.9654,1.9654,6.725389999999994,0.12450998476909392,2.7676646000000003,2.9499070000000005,0.09112120000000012,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,200000,3,insert,first_query_ms,ms,2.8812317999999997,2.00375,2.00375,6.992069999999997,0.11589946179642079,2.8123574,2.9859488,0.08679570000000014,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,250000,3,delete,first_query_ms,ms,3.5073543999999997,2.3546,2.3546,8.311974999999999,0.12471539586915466,3.440188,3.619112199999999,0.08946209999999954,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,250000,3,insert,first_query_ms,ms,3.5328074000000003,2.4130000000000003,2.4130000000000003,8.206349999999992,0.14579681611852852,3.447638,3.6622014,0.10728169999999992,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,300000,3,delete,first_query_ms,ms,4.0198534,2.7203999999999997,2.7203999999999997,9.689299999999996,0.05628900928955839,3.9793611999999996,4.070027,0.04533290000000001,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,300000,3,insert,first_query_ms,ms,4.0384164,2.7567,2.7567,9.536254999999993,0.07480641339684704,3.9811076,4.098139399999999,0.05851589999999951,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
