experiment,run_id,scheme,N,query_id,q,bucket,trapdoor_ms,server_ms,unmask_ms,delta_replay_ms,verify_ms,client_ms,total_ms,groups,aggregate_bytes,delta_records,delta_bytes,requested_buckets,returned_bucket_slots,trapdoor_bytes,bucket_bytes,client_to_server_bytes,server_to_client_bytes,candidates,final_results,correct,seed
E1,0,SliceBF,50000,common_018,3,common,0.0282,0.1755,0.4061,0.069,3.9808,4.4559,4.6596,1,25280,0,0,593,37952,616,17260224,2988,17285504,1088,1088,1,20260711
E1,0,SliceBF,50000,common_000,3,common,0.0335,0.0852,0.4739,0.0649,1.7302,2.269,2.3877,1,25280,0,0,193,12352,616,7647936,1388,7673216,387,387,1,20260711
E1,0,SliceBF,50000,common_005,3,common,0.0298,0.1235,0.4633,0.0626,1.5387,2.0646,2.2179,1,25280,0,0,358,22912,616,10492032,2048,10517312,448,448,1,20260711
E1,0,SliceBF,50000,rare_015,3,rare,0.0295,0.0237,0.4863,0.0577,0.0107,0.5547,0.6079,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_002,3,rare,0.0291,0.0253,0.3438,0.0576,0.0093,0.4107,0.4651,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,medium_010,3,medium,0.0282,0.0237,0.2672,0.0575,0.008,0.3327,0.3846,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,medium_014,3,medium,0.0283,0.0233,0.3201,0.0576,0.0078,0.3855,0.4371,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_007,3,common,0.0283,0.088,0.3008,0.0632,1.8529,2.2169,2.3332,1,25280,0,0,267,17088,616,9584192,1684,9609472,461,461,1,20260711
E1,0,SliceBF,50000,rare_017,3,rare,0.0294,0.0234,0.2947,0.0576,0.0076,0.3599,0.4127,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,medium_023,3,medium,0.0282,0.0215,0.294,0.0576,0.0077,0.3593,0.409,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,rare_010,3,rare,0.0282,0.0223,0.2314,0.0576,0.0075,0.2965,0.347,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,common_014,3,common,0.0278,0.1369,0.3981,0.0668,3.0801,3.545,3.7097,1,25280,0,0,482,30848,616,15322496,2544,15347776,828,828,1,20260711
E1,0,SliceBF,50000,common_027,3,common,0.0308,0.2786,0.3993,0.0948,16.7959,17.29,17.5994,1,25280,0,0,702,44928,616,21236352,3424,21261632,4214,4214,1,20260711
E1,0,SliceBF,50000,medium_021,3,medium,0.1625,0.035,0.3281,0.0578,0.0129,0.3988,0.5963,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,common_021,3,common,0.0294,0.1949,0.4027,0.0717,4.4795,4.9539,5.1782,1,25280,0,0,590,37760,616,18044544,2976,18069824,1209,1209,1,20260711
E1,0,SliceBF,50000,medium_004,3,medium,0.0313,0.0256,0.2888,0.0578,0.0085,0.3551,0.412,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,medium_001,3,medium,0.0289,0.022,0.256,0.0575,0.0077,0.3212,0.3721,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_015,3,common,0.0286,0.1482,0.4867,0.0676,3.4494,4.0037,4.1805,1,25280,0,0,452,28928,616,14703360,2424,14728640,897,897,1,20260711
E1,0,SliceBF,50000,common_024,3,common,0.0331,0.2401,0.3911,0.0859,12.0518,12.5288,12.802,1,25280,0,0,678,43392,616,20621440,3328,20646720,3060,3060,1,20260711
E1,0,SliceBF,50000,medium_003,3,medium,0.0401,0.0265,0.3053,0.0579,0.0088,0.372,0.4386,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_023,3,common,0.0283,0.258,0.4261,0.0837,8.7714,9.2812,9.5675,1,25280,0,0,750,48000,616,21974656,3616,21999936,2460,2460,1,20260711
E1,0,SliceBF,50000,rare_019,3,rare,0.0355,0.0262,0.3607,0.0579,0.0086,0.4272,0.4889,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_020,3,common,0.0284,0.2001,0.4035,0.0706,4.0369,4.511,4.7395,1,25280,0,0,615,39360,616,17890112,3076,17915392,1154,1154,1,20260711
E1,0,SliceBF,50000,rare_025,3,rare,0.0338,0.0258,0.3947,0.0577,0.0078,0.4602,0.5198,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_003,3,rare,0.0289,0.0233,0.2447,0.0576,0.0076,0.3099,0.3621,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,medium_006,3,medium,0.0297,0.0233,0.257,0.0576,0.009,0.3236,0.3766,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,common_019,3,common,0.0284,0.1773,0.4425,0.07,3.9701,4.4826,4.6883,1,25280,0,0,586,37504,616,16755584,2960,16780864,1123,1123,1,20260711
E1,0,SliceBF,50000,medium_002,3,medium,0.0349,0.0256,0.3268,0.0578,0.0081,0.3927,0.4532,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_026,3,common,0.0286,0.2896,0.3939,0.0954,16.6081,17.0974,17.4156,1,25280,0,0,702,44928,616,21236352,3424,21261632,4214,4214,1,20260711
E1,0,SliceBF,50000,rare_014,3,rare,0.0423,0.0308,0.2788,0.0579,0.0089,0.3456,0.4187,1,25280,0,0,1,64,616,17088,620,42368,1,1,1,20260711
E1,0,SliceBF,50000,medium_011,3,medium,0.0286,0.0268,0.2605,0.0582,0.0085,0.3272,0.3826,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_012,3,rare,0.0613,0.0277,0.3847,0.0593,0.0118,0.4558,0.5448,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,rare_022,3,rare,0.0287,0.0266,0.3609,0.058,0.0095,0.4284,0.4837,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,medium_016,3,medium,0.029,0.0261,0.2372,0.0577,0.0085,0.3034,0.3585,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_001,3,rare,0.0288,0.0255,0.2539,0.0553,0.0082,0.3174,0.3717,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,rare_018,3,rare,0.0278,0.0244,0.255,0.0562,0.0073,0.3185,0.3707,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,medium_024,3,medium,0.0279,0.0232,0.2675,0.0554,0.0087,0.3316,0.3827,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,medium_005,3,medium,0.028,0.0244,0.3905,0.058,0.0068,0.4553,0.5077,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_006,3,common,0.0278,0.1143,0.3768,0.0639,1.5576,1.9983,2.1404,1,25280,0,0,329,21056,616,9332928,1932,9358208,449,449,1,20260711
E1,0,SliceBF,50000,medium_012,3,medium,0.0308,0.0233,0.3759,0.058,0.0076,0.4415,0.4956,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,medium_015,3,medium,0.028,0.1398,0.2731,0.0577,0.0078,0.3386,0.5064,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_025,3,common,0.0281,0.3033,0.3755,0.0932,12.5075,12.9762,13.3076,1,25280,0,0,775,49600,616,22467392,3716,22492672,3801,3801,1,20260711
E1,0,SliceBF,50000,rare_011,3,rare,0.0375,0.0268,0.2629,0.0579,0.0093,0.3301,0.3944,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,common_004,3,common,0.0286,0.1069,0.4061,0.0639,1.7448,2.2148,2.3503,1,25280,0,0,300,19200,616,9910528,1816,9935808,430,430,1,20260711
E1,0,SliceBF,50000,medium_019,3,medium,0.0311,0.0332,0.2773,0.0577,0.0077,0.3427,0.407,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,medium_008,3,medium,0.0284,0.0547,0.3071,0.0577,0.0083,0.3731,0.4562,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,common_009,3,common,0.0286,0.0745,0.3848,0.0645,2.5286,2.9779,3.081,1,25280,0,0,191,12224,616,8039744,1380,8065024,543,543,1,20260711
E1,0,SliceBF,50000,medium_009,3,medium,0.0297,0.0257,0.2607,0.0577,0.0086,0.327,0.3824,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,rare_024,3,rare,0.0286,0.0244,0.2892,0.0575,0.0075,0.3542,0.4072,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_023,3,rare,0.1382,0.0365,0.3278,0.0575,0.0084,0.3937,0.5684,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,common_012,3,common,0.0285,0.1776,0.3642,0.0672,2.5677,2.9991,3.2052,1,25280,0,0,454,29056,616,12624000,2432,12649280,762,762,1,20260711
E1,0,SliceBF,50000,medium_000,3,medium,0.0302,0.0242,0.3784,0.0576,0.0071,0.4431,0.4975,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_004,3,rare,0.0299,0.0225,0.2454,0.0585,0.0079,0.3118,0.3642,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_020,3,rare,0.0286,0.022,0.373,0.0576,0.007,0.4376,0.4882,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_008,3,rare,0.0283,0.0236,0.3709,0.0577,0.0085,0.4371,0.489,1,25280,0,0,1,64,616,25280,620,50560,1,1,1,20260711
E1,0,SliceBF,50000,rare_009,3,rare,0.0284,0.0231,0.234,0.0576,0.0084,0.3,0.3515,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
E1,0,SliceBF,50000,rare_005,3,rare,0.0284,0.0241,0.3238,0.0575,0.0083,0.3896,0.4421,1,25280,0,0,1,64,616,41664,620,66944,1,1,1,20260711
