experiment,scheme,N,q,selectivity,metric,unit,mean,median,p50,p95,sd_between_runs,ci95_low,ci95_high,ci95_half,n_runs,n_measurements,param1,param2
E3,Doris,50000,0,all,setup_ms,ms,18680.98,18063.05,18063.05,21155.969999999994,1512.6570602016097,18048.428,19673.8655,812.71875,10,10,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Doris,100000,0,all,setup_ms,ms,75245.39,69404.54999999999,69404.54999999999,102485.97999999998,18540.215585492948,65027.5325,86699.09049999993,10835.778999999966,10,10,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Doris,150000,0,all,setup_ms,ms,172694.5,173371.0,173371.0,269685.44999999995,56986.33465285047,142325.34000000003,208420.8,33047.72999999998,10,10,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Doris,200000,0,all,setup_ms,ms,362416.8,327916.5,327916.5,578519.6499999997,138694.08871790062,288672.43000000005,450106.87,80717.21999999997,10,10,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Doris,250000,0,all,setup_ms,ms,524279.6,520013.0,520013.0,732314.1499999997,151033.73346684288,450371.975,619643.0925,84635.55875000003,10,10,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Doris,300000,0,all,setup_ms,ms,882910.0,638895.5,638895.5,1705834.4999999993,489777.2754603191,632834.5599999999,1187748.5975000001,277457.0187500001,10,10,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Ren,50000,0,all,setup_ms,ms,5209.244000000001,5206.49,5206.49,5226.396,13.676217678876043,5199.222,5220.494000000001,10.636000000000422,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Ren,100000,0,all,setup_ms,ms,12269.7,12272.4,12272.4,12311.34,43.444504830876255,12236.039999999999,12303.36,33.660000000000764,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Ren,150000,0,all,setup_ms,ms,19686.22,19691.9,19691.9,19763.96,72.58306965126258,19630.379999999997,19742.06,55.840000000001965,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Ren,200000,0,all,setup_ms,ms,27621.2,27623.3,27623.3,27700.1,84.46025692596454,27553.460000000003,27682.22,64.3799999999992,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Ren,250000,0,all,setup_ms,ms,35253.56,35179.4,35179.4,35656.380000000005,300.19948867378184,35074.58,35526.840000000004,226.13000000000102,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,Ren,300000,0,all,setup_ms,ms,42485.18,42468.8,42468.8,42625.48,119.83823263049382,42393.42,42580.840000000004,93.71000000000276,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,SliceBF,50000,0,all,setup_ms,ms,4908.572,4962.76,4962.76,4965.37,76.02791112479674,4850.464,4964.236,56.88599999999997,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,SliceBF,100000,0,all,setup_ms,ms,11108.9,11100.3,11100.3,11191.2,63.523499588734424,11063.62,11159.8,48.089999999999236,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,SliceBF,150000,0,all,setup_ms,ms,17764.760000000002,17741.2,17741.2,17917.0,116.93183056807155,17679.96,17861.58,90.81000000000131,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,SliceBF,200000,0,all,setup_ms,ms,24725.239999999998,24757.6,24757.6,24835.04,117.99213109355954,24624.879999999997,24805.68,90.40000000000146,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,SliceBF,250000,0,all,setup_ms,ms,32205.059999999998,31765.1,31765.1,33949.28,1280.0209482660819,31526.859999999997,33344.159999999996,908.6499999999996,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,SliceBF,300000,0,all,setup_ms,ms,37876.42,37882.0,37882.0,37940.86,62.07525271797171,37827.619999999995,37923.64,48.01000000000204,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,XEBFF-Conj,50000,0,all,setup_ms,ms,16646.579999999998,16622.3,16622.3,16721.3,55.20499977357092,16609.66,16693.78,42.05999999999949,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,XEBFF-Conj,100000,0,all,setup_ms,ms,46218.020000000004,46179.9,46179.9,46494.46,207.04646096951222,46087.14,46403.78,158.3199999999997,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,XEBFF-Conj,150000,0,all,setup_ms,ms,81107.9,80810.3,80810.3,81896.7,648.3357772019039,80615.58,81622.7,503.5599999999977,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,XEBFF-Conj,200000,0,all,setup_ms,ms,119859.2,119893.0,119893.0,120307.4,533.8793871278418,119420.8,120220.2,399.6999999999971,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,XEBFF-Conj,250000,0,all,setup_ms,ms,159587.6,159174.0,159174.0,162057.8,1823.2266178399218,158541.2,161189.0,1323.8999999999942,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
E3,XEBFF-Conj,300000,0,all,setup_ms,ms,193047.6,193196.0,193196.0,193348.0,305.47062051856966,192793.8,193273.2,239.70000000001164,5,5,fresh_process_and_fresh_keys,ci=bootstrap_over_process_measurements
